证券代码,证券简称,日期,收盘价,涨跌幅
000300.SH,沪深300,20260716,4698.4344,-1.8456738835111
000933.SH,800医卫,20260715,8095.9616,3.168115956619
000300.SH,沪深300,20260715,4786.7828,-0.20263100067508
000933.SH,800医卫,20260714,7847.3485,2.5044806654399
000300.SH,沪深300,20260714,4796.502,2.1535836373732
000933.SH,800医卫,20260713,7655.6151,-0.49677300114014
000300.SH,沪深300,20260713,4695.383,-1.7863942769084
000933.SH,800医卫,20260712,7693.836,
000300.SH,沪深300,20260712,4780.7867,
000933.SH,800医卫,20260711,7693.836,
000300.SH,沪深300,20260711,4780.7867,
000933.SH,800医卫,20260710,7693.836,1.8427241346496
000300.SH,沪深300,20260710,4780.7867,-1.9589761730816
000933.SH,800医卫,20260709,7554.6251,1.4099705727354
000300.SH,沪深300,20260709,4876.3125,2.5397506374574
000933.SH,800医卫,20260708,7449.5881,-1.071136136525
000300.SH,沪深300,20260708,4755.5338,-0.76641462704545
000933.SH,800医卫,20260707,7530.2473,-3.6376464013439
000300.SH,沪深300,20260707,4792.2624,-1.0271710149405
000933.SH,800医卫,20260706,7814.5116,0.84658481989178
000300.SH,沪深300,20260706,4841.998,-0.0036285356719171
000933.SH,800医卫,20260705,7748.9105,
000300.SH,沪深300,20260705,4842.1737,
000933.SH,800医卫,20260704,7748.9105,
000300.SH,沪深300,20260704,4842.1737,
000933.SH,800医卫,20260703,7748.9105,2.0428855554026
000300.SH,沪深300,20260703,4842.1737,0.62086791549407
000933.SH,800医卫,20260702,7593.7783,-0.24890686673654
000300.SH,沪深300,20260702,4812.2957,-2.9579002105938
000933.SH,800医卫,20260701,7612.7269,3.5683818616838
000300.SH,沪深300,20260701,4958.9773,-0.41079980033067
000933.SH,800医卫,20260630,7350.4353,-1.5260772308683
000300.SH,沪深300,20260630,4979.4328,1.0658137201713
000933.SH,800医卫,20260629,7464.347,6.3983760006527
000300.SH,沪深300,20260629,4926.921,1.2057896720167
000933.SH,800医卫,20260628,7015.4708,
000300.SH,沪深300,20260628,4868.2205,
000933.SH,800医卫,20260627,7015.4708,
000300.SH,沪深300,20260627,4868.2205,
000933.SH,800医卫,20260626,7015.4708,-2.8068549500119
000300.SH,沪深300,20260626,4868.2205,-3.025501185852
000933.SH,800医卫,20260625,7218.0716,0.46572458180792
000300.SH,沪深300,20260625,5020.1038,1.5594536271017
000933.SH,800医卫,20260624,7184.6111,1.1410880805244
000300.SH,沪深300,20260624,4943.0197,0.48041971091513
000933.SH,800医卫,20260623,7103.5533,0.30827104999202
000300.SH,沪深300,20260623,4919.386,-2.772365137234
000933.SH,800医卫,20260622,7081.7224,0.99208289148159
000300.SH,沪深300,20260622,5059.6582,2.3890973257116
000933.SH,800医卫,20260621,7012.156,
000300.SH,沪深300,20260621,4941.5986,
000933.SH,800医卫,20260620,7012.156,
000300.SH,沪深300,20260620,4941.5986,
000933.SH,800医卫,20260619,7012.156,
000300.SH,沪深300,20260619,4941.5986,
000933.SH,800医卫,20260618,7012.156,1.0056216905352
000300.SH,沪深300,20260618,4941.5986,0.20709187625768
000933.SH,800医卫,20260617,6942.3423,-0.55067598569662
000300.SH,沪深300,20260617,4931.3861,0.96543116848538
000933.SH,800医卫,20260616,6980.7838,-1.7812198891409
000300.SH,沪深300,20260616,4884.2322,-0.15291985878319
000933.SH,800医卫,20260615,7107.3819,-0.44829476545844
000300.SH,沪深300,20260615,4891.7126,2.3944802867113
000933.SH,800医卫,20260614,7139.3874,
000300.SH,沪深300,20260614,4777.3206,
000933.SH,800医卫,20260613,7139.3874,
000300.SH,沪深300,20260613,4777.3206,
000933.SH,800医卫,20260612,7139.3874,2.0456418141053
000300.SH,沪深300,20260612,4777.3206,1.162719340764
000933.SH,800医卫,20260611,6996.2688,-0.24937553460987
000300.SH,沪深300,20260611,4722.4122,-0.55134223752838
000933.SH,800医卫,20260610,7013.7594,1.0103484000126
000300.SH,沪深300,20260610,4748.5932,-1.1082777817184
000933.SH,800医卫,20260609,6943.6048,-0.19446656921562
000300.SH,沪深300,20260609,4801.8106,1.8706324319753
000933.SH,800医卫,20260608,6957.1341,-1.9277458947678
000300.SH,沪深300,20260608,4713.6358,-2.1441938447015
000933.SH,800医卫,20260607,7093.8862,
000300.SH,沪深300,20260607,4816.9199,
000933.SH,800医卫,20260606,7093.8862,
000300.SH,沪深300,20260606,4816.9199,
000933.SH,800医卫,20260605,7093.8862,0.35454695653119
000300.SH,沪深300,20260605,4816.9199,-1.7906230158246
000933.SH,800医卫,20260604,7068.8239,-1.3355430218596
000300.SH,沪深300,20260604,4904.7454,-0.68971485453853
000933.SH,800医卫,20260603,7164.509,-1.6076746054733
000300.SH,沪深300,20260603,4938.8091,0.49343185231001
000933.SH,800医卫,20260602,7281.573,-1.0962766445847
000300.SH,沪深300,20260602,4914.5591,1.4512756098171
000933.SH,800医卫,20260601,7362.284,-0.86704462127784
000300.SH,沪深300,20260601,4844.2556,-0.97842422672552
