name,month,days,end_close,return_pct,daily_vol,daily_amount,daily_turn
泰格医药,202501,18,48.581878570001,,9967160.555555556,506637741.01555556,1.7482053165534166
泰格医药,202502,18,56.206259104763,15.693877551021673,16108475.777777778,899820345.9072222,2.825370659910411
泰格医药,202503,21,50.376433676363,-10.372199682483352,9407399.0,529372038.5190476,1.650025085386271
泰格医药,202504,21,44.229338836893,-12.20232237748553,9359978.476190476,431945056.1219048,1.641707690339277
泰格医药,202505,19,49.117270701181,11.051333781663564,12489832.368421054,573196829.3931578,2.1930077866409263
泰格医药,202506,20,53.173146660546,8.257535285378715,13487170.8,694495062.1505,2.381990889151231
泰格医药,202507,23,67.922412210236,27.738184546136367,15807886.0,954828521.6152174,2.791856126619322
泰格医药,202508,21,63.335081478081,-6.753780648950047,13390670.285714285,891162148.0485715,2.3649477783880046
泰格医药,202509,22,57.840257057608,-8.67579908675834,13884432.818181818,859715282.3972727,2.4521519720015226
泰格医药,202510,17,59.715079182924,3.2413793103455824,12068270.0,674229161.85,2.1313965407642823
泰格医药,202511,20,50.869508836355,-14.812959251837443,10856077.85,603755709.631,1.91730933893241
泰格医药,202512,23,56.543837502869,11.154675553813709,9465831.217391305,487001257.8530435,1.6717756490538043
泰格医药,202601,20,62.836458572412,11.128747795413974,12190046.35,741392770.0385,2.152903657454325
泰格医药,202602,14,59.475740188203,-5.348357403586245,11638073.285714285,736084545.9342858,2.0554188083571856
泰格医药,202603,22,53.681742024329,-9.741784037558288,10142026.363636363,544632685.430909,1.7911995594890409
泰格医药,202604,21,55.047968785862,2.545049229054097,12920863.238095239,733049045.842381,2.2819744014150096
泰格医药,202605,18,39.341347257287,-28.532608695652616,17893689.388888888,822112591.8405555,3.1593028288951333
泰格医药,202606,21,47.867798944228,21.673003802282565,22930968.476190478,949629219.1019047,4.0481161923066855
泰格医药,202607,23,49.99,4.433462792481091,24649443.739130434,1194904820.4608696,4.353323784403317
泰格医药,202608,21,52.79,5.601120224044798,23331479.57142857,1243029729.5095239,4.120399651722348
泰格医药,202609,4,50.0,-5.285091873460878,9665940.25,491019421.5375,1.706331586381
奥浦迈,202501,11,38.618840081112,,472189.2727272727,17460159.0,0.6064755932154337
奥浦迈,202502,15,42.47480700443,9.984678243104206,1113766.2,47242799.8,1.4388013906544692
奥浦迈,202503,21,35.887119268429,-15.509635477128658,751395.4761904762,29489848.285714287,0.9706784566404838
奥浦迈,202504,21,40.857470494394,13.849958779883377,852369.0476190476,32987455.904761903,1.1011195806311214
奥浦迈,202505,19,42.525322374316,4.082122215938067,610617.2631578947,25580578.57894737,0.7888163309222416
奥浦迈,202506,20,44.606496389373,4.893964110931637,669582.35,27415987.1,0.864989453206327
奥浦迈,202507,23,59.957632338526,34.41457453899077,1953259.0869565217,102215623.13043478,2.5232871051586288
奥浦迈,202508,21,53.218592670724,-11.239669421488818,1806542.0,101290070.1904762,2.333752938341738
奥浦迈,202509,22,63.92337182448,20.114735502287708,2622443.5,146261406.5909091,2.363233714528541
奥浦迈,202510,17,61.594180138568,-3.643724696355921,1598760.294117647,93007548.76470588,1.4062119508077175
奥浦迈,202511,20,56.089722863741,-8.936651583710765,1202721.45,69674457.1,1.0566858396624554
奥浦迈,202512,23,48.773672055427,-13.04347826086949,886110.4347826086,45695730.347826086,0.7785180424045196
奥浦迈,202601,20,50.147297921478,2.816326530612656,1386557.7,75669609.95,1.2182005130655496
奥浦迈,202602,14,50.68480369515,1.0718539102817504,1428315.2142857143,75917607.92857143,1.254887789280032
奥浦迈,202603,22,42.801385681293,-15.553809897879434,1255976.2727272727,58009060.63636363,1.1034744099250409
奥浦迈,202604,21,50.007944572748,16.837209302325796,1886916.8095238095,95697323.57142857,1.6578055319832095
奥浦迈,202605,18,43.40856812933,-13.196656050955458,1374298.7222222222,65990997.833333336,1.2074300323141567
奥浦迈,202606,21,41.497436489607,-4.4026599403809925,2095406.9047619049,81388041.04761904,1.840980556713981
奥浦迈,202607,23,49.4,19.043498054083873,4204793.565217392,217609581.47826087,3.6938420573564867
奥浦迈,202608,21,53.1,7.489878542510131,5307690.333333333,323900564.3333333,4.540621784629581
奥浦迈,202609,4,54.62,2.8625235404896365,3904275.25,216233378.25,3.332268160942475
康龙化成,202501,18,24.487834115864,,13693292.833333334,342208279.7722222,0.9650129070118122
康龙化成,202502,18,26.054661328911,6.398390342051363,29962566.833333332,822266508.6944444,2.110954744676618
康龙化成,202503,21,26.527665770586,1.8154311649030808,21632605.23809524,594805877.3319048,1.5240833978306094
康龙化成,202504,21,22.832318570003,-13.930163447250676,27273063.38095238,653075498.502381,1.9214709763062876
康龙化成,202505,19,23.492553936507,2.8916702632706626,21381765.210526317,497473400.5631579,1.506410948427429
康龙化成,202506,20,24.182352080616,2.93624161073891,29866205.35,728591360.4865,2.104165782583415
