证券代码,证券简称,日期,收盘价,成交量,成交金额
000300.SH,沪深300,20260726,4649.1917,,
399933.SZ,800医卫,20260726,7756.0961,,
000300.SH,沪深300,20260725,4649.1917,,
399933.SZ,800医卫,20260725,7756.0961,,
000300.SH,沪深300,20260724,4649.1917,2.21261212E10,6.26378644368E11
399933.SZ,800医卫,20260724,7756.0961,1.2659361E9,4.79756321794E10
000300.SH,沪深300,20260723,4728.0018,2.47331675E10,7.4181858056E11
399933.SZ,800医卫,20260723,8023.1486,1.2818606E9,5.05234264493E10
000300.SH,沪深300,20260722,4717.2442,2.85556357E10,9.21519272205E11
399933.SZ,800医卫,20260722,8063.4486,1.6752805E9,6.70043245087E10
000300.SH,沪深300,20260721,4739.2287,3.4540359E10,1.016727269579E12
399933.SZ,800医卫,20260721,8031.7504,1.8524997E9,7.02737801934E10
000300.SH,沪深300,20260720,4598.3208,3.33116058E10,9.33403207741E11
399933.SZ,800医卫,20260720,7992.964,1.9752515E9,7.56545806143E10
000300.SH,沪深300,20260719,4529.0953,,
399933.SZ,800医卫,20260719,7747.1984,,
000300.SH,沪深300,20260718,4529.0953,,
399933.SZ,800医卫,20260718,7747.1984,,
000300.SH,沪深300,20260717,4529.0953,3.02629886E10,9.20822412822E11
399933.SZ,800医卫,20260717,7747.1984,2.1077398E9,7.90181360856E10
000300.SH,沪深300,20260716,4698.4344,2.51560977E10,7.98830386821E11
399933.SZ,800医卫,20260716,8120.5564,2.3955709E9,8.72995299461E10
000300.SH,沪深300,20260715,4786.7828,2.78692669E10,8.58314510332E11
399933.SZ,800医卫,20260715,8095.9616,2.4092051E9,9.50956847633E10
000300.SH,沪深300,20260714,4796.502,2.83250986E10,9.24097145133E11
399933.SZ,800医卫,20260714,7847.3485,1.7372407E9,6.24224857519E10
000300.SH,沪深300,20260713,4695.383,2.78634853E10,9.07944677889E11
399933.SZ,800医卫,20260713,7655.6151,1.550642E9,5.37576591294E10
