code,date,nav
015454,20260629,1.6013
016370,20260629,3.4931
017488,20260629,4.3343
017489,20260629,4.2444
017612,20260629,5.736
019632,20260629,3.7001
019633,20260629,3.6808
019923,20260629,2.0397
019924,20260629,2.02
161119,20260629,1.7897
000216,20260630,3.0429
000917,20260630,1.3178
001170,20260630,6.024
007044,20260630,2.0031
007045,20260630,1.9465
007817,20260630,4.9737
007818,20260630,4.8684
009993,20260630,3.2499
013840,20260630,4.0259
013841,20260630,3.9892
014201,20260630,1.7173
014202,20260630,1.6945
015453,20260630,1.6697
015454,20260630,1.6287
016370,20260630,3.682
017488,20260630,4.5731
017489,20260630,4.4781
017612,20260630,5.962
019632,20260630,3.8034
019633,20260630,3.7836
019923,20260630,2.1004
019924,20260630,2.08
161119,20260630,1.7882
162214,20260630,3.087
000216,20260701,3.0102
000917,20260701,1.3178
001170,20260701,5.777
007044,20260701,1.9953
007045,20260701,1.9389
007817,20260701,4.77
007818,20260701,4.6689
009993,20260701,3.1869
013840,20260701,3.9715
013841,20260701,3.9353
014201,20260701,1.7428
014202,20260701,1.7196
015453,20260701,1.6754
015454,20260701,1.6342
016370,20260701,3.4897
017488,20260701,4.3589
017489,20260701,4.2683
017612,20260701,5.718
019632,20260701,3.8296
019633,20260701,3.8097
019923,20260701,2.128
019924,20260701,2.1073
161119,20260701,1.7865
162214,20260701,3.037
000216,20260702,3.0728
000917,20260702,1.3179
001170,20260702,5.363
007044,20260702,1.9341
007045,20260702,1.8795
007817,20260702,4.4049
007818,20260702,4.3115
009993,20260702,2.9271
013840,20260702,3.563
013841,20260702,3.5305
014201,20260702,1.7058
014202,20260702,1.6831
015453,20260702,1.624
015454,20260702,1.5841
016370,20260702,3.149
017488,20260702,3.9686
017489,20260702,3.8861
017612,20260702,5.309
019632,20260702,3.4959
019633,20260702,3.4777
019923,20260702,2.0951
019924,20260702,2.0747
161119,20260702,1.7867
162214,20260702,2.777
000216,20260703,3.1547
000917,20260703,1.318
001170,20260703,5.405
007044,20260703,1.9475
007045,20260703,1.8924
007817,20260703,4.4033
007818,20260703,4.3099
009993,20260703,2.9794
013840,20260703,3.4995
013841,20260703,3.4676
014201,20260703,1.7109
014202,20260703,1.6882
015453,20260703,1.6383
015454,20260703,1.598
016370,20260703,3.1377
017488,20260703,3.9688
017489,20260703,3.8863
017612,20260703,5.35
019632,20260703,3.3914
019633,20260703,3.3737
019923,20260703,2.1028
019924,20260703,2.0823
161119,20260703,1.7863
162214,20260703,2.741
000216,20260706,3.145
000917,20260706,1.3181
001170,20260706,5.234
007044,20260706,1.9455
007045,20260706,1.8904
007817,20260706,4.2539
007818,20260706,4.1636
009993,20260706,2.9168
013840,20260706,3.5334
013841,20260706,3.5012
014201,20260706,1.6875
014202,20260706,1.665
015453,20260706,1.6289
015454,20260706,1.5888
016370,20260706,3.0129
017488,20260706,3.8572
017489,20260706,3.7768
017612,20260706,5.18
019632,20260706,3.3597
019633,20260706,3.3421
019923,20260706,2.0773
019924,20260706,2.057
161119,20260706,1.7876
162214,20260706,2.759
000216,20260707,3.1265
000917,20260707,1.3182
001170,20260707,5.26
007044,20260707,1.9216
007045,20260707,1.8671
007817,20260707,4.2548
007818,20260707,4.1645
009993,20260707,2.873
013840,20260707,3.5808
013841,20260707,3.548
014201,20260707,1.6538
014202,20260707,1.6317
015453,20260707,1.6017
015454,20260707,1.5623
016370,20260707,3.0265
017488,20260707,3.8613
017489,20260707,3.7807
017612,20260707,5.206
019632,20260707,3.4097
019633,20260707,3.3918
019923,20260707,2.0247
019924,20260707,2.0049
161119,20260707,1.7878
162214,20260707,2.811
